361;-66.50;-66.50;20.0;86.50;86.50;103.57;85.57;63.00;63.00;1385.1;18.00;0.00;37.0;EXCELENTE
362;-66.50;-66.50;20.0;86.50;86.50;103.57;85.57;63.00;63.00;1385.1;18.00;0.00;37.0;EXCELENTE
363;-65.50;-66.50;20.0;85.50;86.50;103.57;85.57;64.00;63.00;1385.1;18.00;0.00;37.0;EXCELENTE
364;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
365;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
366;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
367;-67.50;-68.50;20.0;87.50;88.50;103.57;85.57;62.00;61.00;1385.1;18.00;0.00;37.0;EXCELENTE
368;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
369;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
370;-66.50;-66.50;20.0;86.50;86.50;103.57;85.57;63.00;63.00;1385.1;18.00;0.00;37.0;EXCELENTE
371;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
372;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
373;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
374;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
375;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
376;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
377;-66.50;-66.50;20.0;86.50;86.50;103.57;85.57;63.00;63.00;1385.1;18.00;0.00;37.0;EXCELENTE
378;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
379;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
380;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
381;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
382;-66.50;-67.50;20.0;86.50;87.50;103.57;85.57;63.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
383;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
384;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
385;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
386;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
387;-66.50;-67.50;20.0;86.50;87.50;103.57;85.57;63.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
388;-66.50;-67.50;20.0;86.50;87.50;103.57;85.57;63.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
389;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
390;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
391;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
392;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
393;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
394;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
395;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
396;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
397;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
398;-67.50;-67.50;20.0;87.50;87.50;103.57;85.57;62.00;62.00;1385.1;18.00;0.00;37.0;EXCELENTE
