Medida;Latitude;Longitude;Altitude;Distancia_3D_m;RSSI_DL_medido;RSSI_DL_previsto_shadowing
335;-23.004512;-46.837425;774.2;235.52;-88.0;-78.06
336;-23.004517;-46.837428;773.1;235.56;-88.0;-78.06
337;-23.004524;-46.837433;771.7;235.68;-88.0;-78.06
338;-23.004531;-46.837438;769.8;235.84;-88.0;-78.07
339;-23.004543;-46.837447;767.3;236.15;-87.0;-78.09
340;-23.004551;-46.837451;765.6;236.2;-88.0;-78.09
341;-23.004556;-46.837454;764.4;236.29;-88.0;-78.1
342;-23.004564;-46.837458;762.8;236.36;-87.0;-78.1
343;-23.004568;-46.83746;762.0;236.41;-88.0;-78.1
344;-23.004576;-46.837465;761.1;236.55;-87.0;-78.11
345;-23.004581;-46.837467;760.0;236.57;-88.0;-78.11
346;-23.004582;-46.837465;759.9;236.35;-88.0;-78.1
347;-23.004585;-46.837467;759.3;236.43;-87.0;-78.11
348;-23.004588;-46.837468;758.6;236.44;-88.0;-78.11
349;-23.004593;-46.83747;757.3;236.49;-88.0;-78.11
350;-23.004591;-46.837469;757.2;236.5;-88.0;-78.11
351;-23.004592;-46.83747;756.6;236.59;-87.0;-78.11
352;-23.004593;-46.83747;756.4;236.56;-87.0;-78.11
353;-23.004596;-46.837472;755.7;236.67;-87.0;-78.12
354;-23.0046;-46.837475;755.1;236.82;-88.0;-78.13
355;-23.004606;-46.837477;754.2;236.81;-87.0;-78.13
356;-23.004608;-46.837479;753.8;236.94;-88.0;-78.13
357;-23.004611;-46.83748;753.2;236.96;-88.0;-78.13
358;-23.004613;-46.837481;752.4;237.04;-89.0;-78.14
359;-23.004614;-46.837482;751.2;237.21;-96.5;-78.15
360;-23.004614;-46.837481;750.5;237.19;-89.0;-78.15
361;-23.004615;-46.837481;750.0;237.2;-88.0;-78.15
362;-23.004615;-46.83748;749.6;237.15;-88.0;-78.15
363;-23.004612;-46.837477;750.3;236.92;-88.0;-78.13
364;-23.004607;-46.837475;750.6;236.93;-89.0;-78.13
365;-23.004603;-46.837473;750.8;236.9;-88.0;-78.13
366;-23.004602;-46.837472;750.8;236.86;-89.0;-78.13
367;-23.004598;-46.83747;751.2;236.81;-87.0;-78.13
368;-23.004594;-46.837468;751.3;236.79;-87.0;-78.13
369;-23.00459;-46.837467;751.6;236.85;-87.0;-78.13
370;-23.004586;-46.837467;752.0;237.0;-87.0;-78.14
371;-23.004585;-46.837466;751.6;236.99;-87.0;-78.14
372;-23.00458;-46.837463;751.8;236.92;-87.0;-78.13
373;-23.004576;-46.837462;751.9;237.0;-87.0;-78.14
374;-23.004569;-46.83746;752.4;237.1;-87.0;-78.14
375;-23.004563;-46.837458;752.9;237.15;-88.0;-78.15
376;-23.004558;-46.837456;753.3;237.16;-88.0;-78.15
377;-23.004551;-46.837453;753.9;237.16;-88.0;-78.15
378;-23.004553;-46.837454;753.4;237.2;-88.0;-78.15
379;-23.004547;-46.837452;754.3;237.22;-89.0;-78.15
380;-23.004544;-46.837451;754.4;237.27;-88.0;-78.15
381;-23.00454;-46.837449;754.7;237.25;-88.0;-78.15
382;-23.004538;-46.83745;755.2;237.39;-88.0;-78.16
383;-23.004537;-46.83745;755.3;237.43;-89.0;-78.16
384;-23.004534;-46.837448;755.8;237.35;-88.0;-78.16
385;-23.004532;-46.837447;755.9;237.35;-89.0;-78.16
386;-23.004532;-46.837447;755.9;237.35;-89.0;-78.16
387;-23.004529;-46.837446;756.4;237.36;-87.0;-78.16
388;-23.00453;-46.837447;756.2;237.42;-88.0;-78.16
389;-23.004525;-46.837445;757.0;237.42;-86.0;-78.16
390;-23.004522;-46.837443;757.5;237.35;-86.0;-78.16
391;-23.004521;-46.837443;758.1;237.35;-87.0;-78.16
392;-23.004519;-46.837442;758.7;237.32;-88.0;-78.15
393;-23.004518;-46.837441;759.2;237.24;-89.0;-78.15
394;-23.004515;-46.83744;760.5;237.21;-88.0;-78.15
395;-23.004513;-46.837439;761.0;237.19;-88.0;-78.15
396;-23.004513;-46.837438;761.9;237.04;-87.0;-78.14
397;-23.004512;-46.837439;762.7;237.14;-87.0;-78.14
398;-23.004514;-46.837438;763.3;236.92;-87.0;-78.13
399;-23.004515;-46.837438;763.8;236.84;-87.0;-78.13
400;-23.004515;-46.837438;764.7;236.8;-98.5;-78.13
401;-23.004528;-46.837453;764.6;237.54;-98.0;-78.17
402;-23.004527;-46.837476;764.5;239.71;-90.0;-78.29
403;-23.004527;-46.837526;763.3;244.38;-89.0;-78.54
404;-23.004557;-46.837607;756.3;250.96;-86.0;-78.88
405;-23.004525;-46.83774;755.2;264.91;-86.0;-79.59
406;-23.004488;-46.837837;754.9;275.64;-92.0;-80.11
407;-23.004455;-46.837935;755.6;286.23;-98.0;-80.6
408;-23.004424;-46.838014;756.3;294.95;-100.5;-80.99
409;-23.004403;-46.838079;757.1;301.93;-89.0;-81.29
410;-23.004376;-46.838164;757.2;311.08;-96.0;-81.68
411;-23.00435;-46.838239;757.8;319.23;-91.0;-82.02
412;-23.004347;-46.838272;757.3;322.5;-90.0;-82.15
413;-23.004344;-46.83828;757.8;323.35;-104.0;-82.19
414;-23.004342;-46.838279;757.8;323.35;-104.5;-82.18
415;-23.004341;-46.838277;757.6;323.21;-108.0;-82.18
416;-23.004341;-46.838275;757.2;323.05;-104.5;-82.17
417;-23.00434;-46.838275;756.8;323.11;-101.5;-82.18
418;-23.004339;-46.838274;756.7;323.07;-102.0;-82.17
419;-23.004337;-46.838276;757.1;323.32;-104.0;-82.18
420;-23.004333;-46.838276;757.1;323.49;-104.0;-82.19
421;-23.004333;-46.838276;756.8;323.51;-100.5;-82.19
422;-23.004331;-46.838278;756.3;323.81;-101.0;-82.2
423;-23.004327;-46.838276;756.3;323.8;-109.5;-82.2
424;-23.004325;-46.838278;756.6;324.05;-104.0;-82.21
425;-23.004321;-46.838283;756.8;324.69;-104.5;-82.24
426;-23.004319;-46.838284;756.2;324.9;-101.5;-82.25
427;-23.004318;-46.838286;756.0;325.15;-99.5;-82.26
428;-23.004318;-46.838288;755.8;325.35;-104.5;-82.27
429;-23.004318;-46.838288;755.8;325.35;-104.5;-82.27
